,1075,1075_,1076,1076_,1077,1077_,1125,1125_,1126,1126_,1127,1127_,1128,1128_,1129,1129_,1130,1130_,1131,1131_,1132,1132_,1172,1172_,1173,1173_,1174,1174_,1175,1175_,1176,1176_,1177,1177_,1178,1178_,1179,1179_,1180,1180_,1181,1181_,1182,1182_,1183,1183_,1184,1184_,1221,1221_,1222,1222_,1223,1223_,1224,1224_,1225,1225_,1227,1227_,1228,1228_,1229,1229_,1230,1230_,1231,1231_,1232,1232_,1233,1233_,1234,1234_,1235,1235_,1272,1272_,1273,1273_,1274,1274_,1278,1278_,1279,1279_,1280,1280_,1281,1281_,1282,1282_,1283,1283_,1284,1284_,1285,1285_,1286,1286_,1287,1287_,1326,1326_,1327,1327_,1331,1331_,1332,1332_,1333,1333_,1334,1334_,1335,1335_,1336,1336_,1337,1337_,1338,1338_,1339,1339_,1376,1376_,1377,1377_,1378,1378_,1380,1380_,1382,1382_,1383,1383_,1384,1384_,1385,1385_,1386,1386_,1387,1387_,1388,1388_,1389,1389_,1390,1390_,1426,1426_,1431,1431_,1434,1434_,1435,1435_,1436,1436_,1437,1437_,1438,1438_,1439,1439_,1441,1441_,1442,1442_,1480,1480_,1482,1482_,1483,1483_,1530,1530_,1532,1532_,1533,1533_,1580,1580_,1630,1630_,1684,1684_,1733,1733_,1734,1734_,1783,1783_,2068,2068_,2069,2069_,2118,2118_,2119,2119_,2168,2168_
2016-05-01 00:00:00,71.0,65.9718780518,65.0,15.5716374715,52.0,9.0145556132,81.0,11.0970166524,259.0,42.4344100952,535.0,84.6782226562,691.0,111.960378011,994.0,143.617746989,1101.0,176.350219727,193.0,29.1129277547,27.0,2.75392977397,25.0,3.05461374919,77.0,13.4668235779,28.0,8.17413520813,15.0,3.31625239054,64.0,9.98044077555,1179.0,185.032043457,1052.0,177.719502767,797.0,108.394765218,863.0,147.833465576,695.0,124.350290934,873.0,126.620066325,142.0,19.98279953,6.0,2.32674837112,18.0,4.31921227773,45.0,8.36982599894,36.0,7.25895118713,41.0,9.60247612,8.0,2.25722249349,697.0,116.77851359,1335.0,223.752766927,992.0,166.426920573,1259.0,221.28696696,881.0,138.942270915,1143.0,201.924743652,780.0,135.647572835,329.0,69.3626912435,96.0,25.0211613973,26.0,6.06139310201,50.0,7.74477958679,20.0,5.45641644796,32.0,7.519018809,30.0,8.44935862223,248.0,43.3922068278,552.0,112.269602458,751.0,120.608581543,188.0,22.6848144531,40.0,9.56129582723,275.0,44.5217488607,172.0,41.1146036784,84.0,11.2874107361,142.0,22.8525339762,162.0,30.50684611,33.0,7.15130233765,299.0,59.9313863118,493.0,55.5725911458,223.0,35.6350199382,32.0,5.47189966838,34.0,6.23463948568,72.0,15.4352836609,31.0,9.14112345378,18.0,2.85473823547,91.0,14.6088689168,67.0,10.3077316284,31.0,5.73054186503,22.0,2.69443575541,16.0,3.62399037679,182.0,24.356590271,434.0,74.0465494792,143.0,27.4648640951,39.0,6.17195892334,38.0,10.9682617188,40.0,8.21840922038,18.0,4.02463595072,35.0,3.95346705119,32.0,4.88046010335,24.0,4.87643909454,1.0,1.32506958644,11.0,2.39671723048,31.0,6.30497805278,35.0,6.76165644328,8.0,2.62239265442,7.0,1.9753686587,6.0,1.45961157481,7.0,2.08616654078,13.0,2.66388988495,27.0,5.93122800191,13.0,2.93339188894,22.0,2.32188129425,22.0,2.31806373596,45.0,3.48192310333,3.0,1.0255335172,7.0,1.06835357348,0.0,0.720335642497,3.0,0.720335642497,60.0,17.6761131287,94.0,10.7474950155,42.0,16.8774515788,7.0,2.52243566513,147.0,26.6784210205,4.0,8.79163996379,85.0,5.65891202291
2016-05-01 01:00:00,37.0,43.0596694946,39.0,18.8161150614,13.0,9.36172485352,38.0,16.2034626007,121.0,61.1615829468,465.0,140.699996948,686.0,220.074717204,1024.0,316.955342611,1292.0,402.505818685,310.0,80.8541183472,6.0,4.37005074819,26.0,5.48101600011,41.0,18.0141366323,30.0,9.40090243022,6.0,4.99750916163,57.0,14.7281112671,1419.0,448.483194987,1371.0,402.427022298,632.0,202.859558105,669.0,243.622762044,441.0,165.04977417,590.0,227.040527344,121.0,45.357064565,2.0,2.77206397057,18.0,7.69343249003,21.0,12.8465855916,32.0,11.0792783101,29.0,14.0252869924,7.0,3.60907634099,866.0,284.303497314,1420.0,451.930297852,891.0,328.108022054,1022.0,364.094563802,713.0,240.353983561,1005.0,344.095418294,545.0,199.443471273,171.0,84.8908437093,55.0,27.4248428345,18.0,9.0882247289,22.0,13.3788750966,20.0,7.7436577479,32.0,9.80279223124,15.0,10.389720281,120.0,63.3885574341,398.0,136.586130778,601.0,187.895385742,118.0,36.3744227091,26.0,10.7710297902,176.0,66.6595840454,131.0,48.6711120605,45.0,15.944873174,130.0,47.544863383,121.0,55.5530395508,22.0,9.73021729787,226.0,83.2703170776,240.0,95.937634786,106.0,44.354540507,9.0,5.14221874873,26.0,8.63464482625,84.0,18.9219175975,35.0,10.0618572235,15.0,4.91617568334,98.0,29.7481740316,51.0,19.3252512614,39.0,10.8473857244,21.0,5.82999038696,11.0,5.65279070536,111.0,33.796488444,324.0,109.142283122,122.0,35.0706621806,31.0,9.41157817841,33.0,12.1374206543,26.0,10.5923042297,24.0,6.0917023023,26.0,7.0791311264,44.0,10.3349488576,24.0,8.59347661336,0.0,1.73518196742,6.0,3.62125984828,36.0,10.593609492,20.0,10.5381374359,12.0,3.69135475159,18.0,2.97735945384,5.0,2.95030713081,8.0,3.19179010391,18.0,4.63432168961,32.0,8.55435593923,10.0,4.20084174474,19.0,4.74125210444,25.0,4.46624120076,34.0,10.8112064997,4.0,1.7725241979,7.0,2.73177369436,0.0,1.3008582592,0.0,1.44487551848,3.0,8.79824447632,9.0,14.6933390299,21.0,14.5673484802,7.0,3.28101269404,50.0,24.1673666636,0.0,7.56813057264,35.0,12.879518191
2016-05-01 02:00:00,10.0,25.779176712,46.0,14.7720518112,8.0,6.74302991231,34.0,15.1136369705,86.0,59.754330953,410.0,173.686091105,621.0,276.252466838,843.0,384.18355306,1368.0,629.092590332,327.0,129.163358053,5.0,4.19529175758,14.0,9.13291200002,16.0,17.381327947,17.0,12.1431986491,2.0,5.1771812439,77.0,18.9978898366,1372.0,660.649373372,1351.0,574.545389811,428.0,240.495920817,594.0,260.548594157,325.0,165.841715495,468.0,269.719985962,105.0,57.2779515584,2.0,4.65453430017,14.0,8.42553091049,25.0,12.5118207932,22.0,13.1670856476,26.0,14.9852892558,3.0,3.83469883601,1001.0,436.88583374,1260.0,620.014078776,785.0,450.727274577,818.0,431.815032959,533.0,272.487177531,810.0,412.681640625,363.0,200.399185181,82.0,64.7322540283,50.0,25.8407840729,15.0,10.0909603437,22.0,11.6329135895,7.0,9.53870582581,21.0,12.7834043503,11.0,9.30796511968,94.0,58.7693913778,238.0,152.412485758,388.0,210.833511353,41.0,35.4080034892,12.0,7.69645150503,124.0,70.8036384583,71.0,52.4428367615,33.0,20.4493338267,113.0,61.9152399699,91.0,60.3272921244,10.0,7.93006292979,180.0,75.767712911,180.0,80.6534601847,69.0,35.320719401,5.0,4.79525176684,20.0,7.20135815938,68.0,24.9124552409,17.0,10.6785802841,13.0,6.84773254395,83.0,39.0784200033,43.0,20.3792743683,26.0,13.676281929,11.0,8.87743616104,7.0,7.04249405861,86.0,40.1262639364,238.0,114.985420227,99.0,37.5320994059,18.0,9.739909331,23.0,15.1944357554,24.0,12.597026825,14.0,8.82910092672,31.0,9.31253051758,24.0,14.2172934214,20.0,10.5891997019,0.0,2.11938420931,10.0,4.11051662763,29.0,12.0655082067,21.0,11.7716056506,6.0,5.13901074727,5.0,4.94848028819,4.0,3.44318787257,6.0,3.67275985082,7.0,6.85620641708,28.0,12.2358036041,11.0,5.94111935298,15.0,7.98481671015,24.0,8.47664912542,35.0,12.8182735443,6.0,2.6642895937,12.0,3.82514150937,0.0,2.05039445559,0.0,1.92324431737,1.0,4.95414201419,2.0,10.5740284125,2.0,13.8345019023,0.0,3.8029554685,7.0,24.0207395554,0.0,7.71699253718,0.0,11.3174877167
2016-05-01 03:00:00,14.0,17.4488809109,25.0,20.0526409149,6.0,6.43907300631,23.0,17.3505417506,59.0,52.8127142588,241.0,205.377324422,355.0,234.713973999,591.0,386.798838298,1250.0,828.717875163,342.0,156.265055339,4.0,3.45540920893,7.0,7.20841312408,14.0,18.2251173655,10.0,11.1227835019,0.0,4.82068324089,39.0,23.9896968206,1013.0,661.836120605,920.0,595.006337484,319.0,204.355361938,435.0,256.261286418,203.0,166.837880452,370.0,284.96391805,125.0,76.0148773193,1.0,5.33010816574,7.0,8.8937702179,25.0,12.7826709747,15.0,13.365336736,21.0,13.7055686315,8.0,5.00044441223,859.0,495.076283773,966.0,655.862630208,545.0,419.110066732,611.0,430.739308675,418.0,269.479726156,663.0,438.775553385,187.0,170.900952657,54.0,55.7683493296,33.0,26.3550332387,9.0,9.58335018158,10.0,12.8241098722,6.0,9.60328578949,17.0,12.4734406471,17.0,9.90115594864,87.0,53.7490679423,227.0,124.956459045,307.0,189.477856954,14.0,28.4863033295,6.0,7.04679894447,86.0,77.1124725342,63.0,47.2345765432,23.0,18.501651446,52.0,57.0344835917,43.0,68.5239728292,10.0,7.62439378103,130.0,75.236076355,119.0,64.678381602,34.0,28.1831232707,4.0,5.22844099998,3.0,7.81391445796,33.0,27.8899739583,15.0,9.77696021398,17.0,6.65331824621,65.0,41.8456382751,37.0,26.7483959198,16.0,14.0885310173,6.0,7.42895523707,5.0,5.13342769941,44.0,35.3191121419,182.0,108.098141988,67.0,36.7929096222,15.0,10.1583159765,17.0,15.3269856771,24.0,13.3305740356,10.0,9.03740580877,17.0,11.5676412582,28.0,14.3658321699,18.0,11.037103494,1.0,2.63288740317,5.0,5.64399107297,24.0,13.1616929372,16.0,12.0882175763,8.0,6.07040691376,7.0,5.65588061015,5.0,4.70006648699,5.0,5.00391658147,11.0,7.50550238291,29.0,12.364628156,9.0,6.71900288264,15.0,10.0323534012,33.0,10.7023507754,45.0,15.5991268158,8.0,3.79578963916,15.0,5.7094540596,0.0,2.79084130128,1.0,2.58864927292,0.0,5.05994264285,0.0,7.55633624395,0.0,11.6293339729,0.0,4.62353559335,13.0,15.9164298375,0.0,5.06149645646,0.0,8.55998547872
2016-05-01 04:00:00,6.0,13.1107549667,20.0,25.7138411204,4.0,6.8457643191,22.0,13.9930385749,64.0,41.9455115,148.0,145.215634664,155.0,166.742220561,297.0,281.488143921,701.0,551.422902425,191.0,123.699054718,2.0,2.47390824556,3.0,6.43108375867,6.0,13.8995455106,9.0,10.2296012243,4.0,5.41006851196,18.0,21.3662570318,481.0,398.662562052,386.0,305.306757609,242.0,169.236452738,240.0,209.589492798,176.0,136.325541178,316.0,250.356811523,116.0,85.5279706319,2.0,6.91201595465,4.0,7.45872950554,15.0,11.3873081207,14.0,11.3363763491,15.0,13.0359560649,1.0,5.23776352406,405.0,344.68536377,479.0,399.782872518,308.0,290.451166789,379.0,314.564224243,353.0,233.284825643,512.0,413.004074097,153.0,116.877150218,28.0,35.0735816956,18.0,24.6122767925,8.0,9.07083527247,8.0,10.252986749,7.0,7.42009909948,13.0,13.4416613579,14.0,10.9092089335,58.0,48.1441256205,140.0,109.704999288,160.0,151.380363464,24.0,15.9800829887,3.0,8.18674381574,52.0,59.1461175283,42.0,38.8753903707,20.0,17.1186277072,39.0,53.6771882375,31.0,53.4687188466,3.0,6.03058936199,134.0,75.7346445719,65.0,58.3729101817,22.0,21.2096358935,1.0,8.48962211609,10.0,10.3461610476,40.0,29.4378945033,16.0,12.9033058484,14.0,8.48685471217,53.0,38.2766917547,20.0,24.4934956233,9.0,14.5025091171,3.0,6.98404057821,4.0,6.6289665699,30.0,30.0805924733,111.0,98.4503389994,34.0,35.3842144012,12.0,10.285785675,17.0,17.5272308985,18.0,13.6610617638,13.0,9.88283928235,21.0,10.9183781147,32.0,15.4003311793,30.0,13.4196429253,3.0,4.20889751116,8.0,6.44915485382,28.0,17.1272875468,24.0,14.1790324847,4.0,7.30517514547,9.0,6.31355547905,8.0,5.18855865796,10.0,5.62211426099,12.0,9.09222364426,19.0,13.5419284503,12.0,8.13869905472,19.0,11.743953228,30.0,14.3814385732,28.0,19.2246033351,9.0,6.01125065486,25.0,7.40812897682,0.0,4.63466453552,0.0,3.84457266331,6.0,9.57962960998,0.0,7.40051244696,0.0,11.9502872626,0.0,5.39257613818,24.0,22.2757636706,0.0,6.15396857262,1.0,11.3916823069
2016-05-01 05:00:00,8.0,10.8026628494,12.0,23.5463706652,6.0,8.65066611767,5.0,17.4978041649,46.0,35.842382431,44.0,67.9574216207,44.0,69.8389034271,85.0,113.155406952,160.0,151.444056193,27.0,59.5485184987,0.0,5.53729478518,1.0,4.22766979535,9.0,8.63044524193,11.0,9.4305138588,1.0,4.22361554702,5.0,16.517109553,109.0,128.106351217,99.0,123.909687042,110.0,103.265614827,108.0,116.246013641,133.0,112.853843689,132.0,158.973840078,81.0,56.1777648926,1.0,8.08734416962,1.0,4.3951883316,5.0,8.69646175702,2.0,9.03385178248,10.0,12.178484122,1.0,2.84762191772,112.0,117.667912801,143.0,170.71468099,107.0,138.112093608,201.0,173.197265625,151.0,137.568266551,230.0,233.264322917,82.0,77.2657922109,23.0,44.8173907598,11.0,23.8601918221,5.0,5.84351563454,5.0,5.95634980996,3.0,6.07422324022,6.0,10.4028538863,9.0,12.7042913437,33.0,34.1352364222,108.0,85.3463662465,75.0,109.841595968,18.0,19.1095930735,4.0,9.52161224683,39.0,43.6971098582,26.0,40.8862244288,14.0,20.6337005297,18.0,19.7001789411,14.0,25.7687107325,2.0,9.37343096733,43.0,52.5013326009,29.0,55.790102005,23.0,25.6339483261,4.0,6.38618270556,4.0,13.1280579567,29.0,26.9872894287,12.0,15.0260060628,7.0,6.85782663027,18.0,21.0991921425,2.0,12.1387650967,9.0,8.91496026516,2.0,4.98228394985,1.0,4.84325865904,28.0,28.4603983561,73.0,81.6279322306,48.0,37.1365140279,12.0,12.2423332532,12.0,14.2084371249,8.0,11.6219712893,8.0,8.33495028814,14.0,8.41209983826,12.0,12.672768116,12.0,14.6139059067,0.0,3.59041285515,2.0,5.92111488183,13.0,18.9814795653,12.0,16.9903073311,9.0,6.15221814315,5.0,5.20939369996,5.0,4.10199515025,7.0,4.56056900819,14.0,9.22196102142,8.0,11.9100342592,7.0,7.61656435331,11.0,11.652176857,10.0,13.6568249067,15.0,14.5338131587,11.0,5.99716520309,11.0,7.52246709665,0.0,3.2743665576,0.0,2.28917533159,9.0,5.52025298278,2.0,10.4980570475,9.0,18.7385818164,0.0,4.12521759669,41.0,53.5988972982,3.0,6.67598350843,57.0,42.9243303935
2016-05-01 06:00:00,10.0,16.1508558591,16.0,31.350780805,7.0,16.0279176235,23.0,20.3372654915,68.0,51.1755123138,44.0,51.2466371109,31.0,38.4210589727,60.0,83.8045113881,64.0,70.6073538462,22.0,35.8028430939,0.0,8.70442493757,2.0,3.66604808966,13.0,12.4828909238,3.0,13.8704334895,0.0,4.82579416037,7.0,15.4173080921,70.0,76.234591802,66.0,79.8490575155,71.0,101.848049164,102.0,111.690889994,186.0,185.920842489,147.0,165.690137227,45.0,47.3552125295,5.0,12.8722750346,2.0,3.97010368109,5.0,6.90184378624,7.0,11.3009857337,10.0,14.1709925334,3.0,2.84152376652,68.0,74.2008641561,103.0,116.569455465,113.0,122.112487793,122.0,139.401692708,147.0,137.583539327,190.0,197.615966797,105.0,99.2570292155,54.0,76.1174221039,36.0,33.0519167582,1.0,5.83590066433,4.0,7.23793137074,2.0,5.52667574088,10.0,13.5132160187,15.0,18.2285324732,62.0,50.000260671,117.0,119.520674388,138.0,118.716041565,19.0,32.2174139023,9.0,18.1987276077,60.0,63.858596166,73.0,67.5870596568,22.0,25.8793325424,7.0,12.1554076672,2.0,14.356836319,3.0,17.3644015789,82.0,61.9482205709,64.0,86.4577903748,63.0,75.7570934296,10.0,18.0015726089,22.0,20.4222400983,38.0,35.7649517059,15.0,19.0622526805,2.0,7.14214110374,5.0,17.5839811961,5.0,8.10134780407,3.0,6.83836285273,6.0,4.41076040268,5.0,7.565132459,72.0,64.2167765299,124.0,150.105271657,67.0,70.8585128784,28.0,20.6206811269,20.0,18.1438247363,6.0,15.9559140205,13.0,9.89920584361,15.0,12.2352968852,2.0,12.7276304563,20.0,19.2604592641,1.0,4.0037548244,4.0,5.40595151981,24.0,22.1587489446,22.0,21.3648173014,10.0,7.9347161452,4.0,4.94986434778,3.0,3.91193042199,5.0,3.73868737618,12.0,11.9859858354,14.0,12.4242663383,12.0,8.96267040571,19.0,15.7836885452,10.0,14.6451954047,7.0,13.8685898781,11.0,6.81080961227,7.0,8.75869357586,0.0,3.39403885106,0.0,2.40884760519,5.0,25.6917641163,3.0,12.4420281251,68.0,30.9900468191,14.0,4.15536477168,152.0,101.194105784,5.0,10.8520368735,127.0,49.7388254801
2016-05-01 07:00:00,21.0,24.972073555,48.0,47.6889527639,16.0,29.2006638845,18.0,33.4706478119,69.0,70.3022127151,49.0,58.0812498728,52.0,48.0803184509,93.0,89.0798683167,85.0,69.0780618687,25.0,31.412551562,4.0,12.7434647083,3.0,3.94929981232,9.0,13.1993411382,11.0,20.2921123505,3.0,6.55213109652,9.0,14.3903792699,55.0,51.4841028849,77.0,71.5497999191,127.0,139.467695872,168.0,154.147881826,266.0,236.154291789,185.0,214.988342285,49.0,66.8543465932,10.0,15.5137386322,3.0,3.92073178291,3.0,6.03954680761,9.0,12.5923568408,12.0,16.1667431196,1.0,3.58125356833,45.0,38.2637586407,106.0,118.669684092,144.0,149.116463979,189.0,177.795199076,158.0,176.417724609,265.0,247.41528066,155.0,151.127087911,100.0,119.132484436,57.0,43.9262332916,4.0,5.84749833743,4.0,6.2305341959,1.0,5.23253079255,15.0,14.9792839686,16.0,23.6223516464,98.0,76.1184705098,177.0,169.656097412,221.0,177.7100118,27.0,47.5384871165,27.0,33.3856191635,107.0,114.346703847,87.0,112.778509776,42.0,39.3604202271,4.0,13.2895675898,3.0,11.7500754992,16.0,25.6387874285,133.0,117.832368215,136.0,143.361424764,125.0,153.741307576,16.0,30.8157342275,39.0,38.2888857524,70.0,51.5645707448,17.0,24.7178827922,7.0,8.18680858612,1.0,11.912173907,9.0,5.04795666536,0.0,6.4559344848,7.0,4.72714245319,24.0,9.87539203962,136.0,103.267946879,226.0,205.296928406,128.0,122.584037781,53.0,30.2767047882,47.0,20.9380331039,23.0,15.2062455813,21.0,10.981055816,12.0,13.3099136353,4.0,6.94679665565,20.0,19.9086419741,2.0,5.37760146459,14.0,7.46607263883,31.0,29.3608385722,30.0,26.5289538701,3.0,10.098821799,13.0,5.77768015862,3.0,5.1500925223,3.0,5.31184037526,11.0,14.189306577,10.0,12.7751819293,15.0,11.1141564051,20.0,18.9965895017,4.0,8.47047575315,9.0,9.740705808,3.0,8.29126568635,6.0,6.85452651978,0.0,4.42242765427,1.0,3.43723630905,18.0,56.7173080444,6.0,39.2124468486,88.0,43.2040379842,15.0,6.03631822268,160.0,112.347899119,28.0,16.8146883647,122.0,53.1212263107
2016-05-01 08:00:00,17.0,35.816204071,61.0,89.6269022624,24.0,43.4925295512,15.0,41.9649152756,89.0,101.313735962,75.0,106.530368805,91.0,82.5946833293,130.0,147.914174398,107.0,119.202902476,40.0,56.3843129476,9.0,15.3876070976,4.0,4.74578420321,22.0,14.010140578,15.0,19.6795525551,4.0,6.78274512291,18.0,15.4830665588,67.0,75.5050106049,147.0,125.475914001,179.0,213.053835551,184.0,231.387448629,375.0,336.050908407,260.0,239.402122498,135.0,90.512734731,25.0,17.2937755585,2.0,3.8956416448,4.0,7.570419391,12.0,14.4404827754,12.0,20.220659256,1.0,4.00822047393,76.0,72.3885625203,159.0,148.04553477,276.0,215.014310201,308.0,255.159754435,256.0,258.163490295,328.0,401.484741211,281.0,249.268992106,280.0,226.593551636,118.0,96.6752446493,7.0,7.01125415166,7.0,8.11191209157,2.0,5.35040128231,32.0,16.5825804075,32.0,25.8550589879,156.0,121.902205149,317.0,294.498372396,335.0,297.967437744,57.0,94.3625895182,52.0,53.8799343109,190.0,171.462303162,195.0,163.508750916,72.0,59.8735160828,12.0,13.8376491865,5.0,10.430585146,21.0,30.2609920502,211.0,189.858757019,289.0,259.958244324,204.0,212.992643992,54.0,54.0301043193,60.0,56.1689440409,82.0,73.7139282227,35.0,24.9914480845,9.0,8.61785618464,2.0,10.7992548943,0.0,7.71136365334,5.0,5.73398387432,8.0,5.57459108035,25.0,13.4677101771,185.0,175.148643494,362.0,332.118161519,192.0,172.942825317,57.0,38.3221346537,45.0,28.0776108106,35.0,18.7569195429,18.0,12.4059788386,20.0,14.4840524991,1.0,5.05712652206,25.0,19.0135332743,5.0,7.44012594223,13.0,9.77745087941,48.0,30.1114559174,62.0,27.2524147034,13.0,11.2063859304,19.0,6.84447360039,10.0,5.12869310379,9.0,4.98226865133,12.0,14.2443092664,20.0,13.5336008072,18.0,12.0710706711,11.0,19.5470671654,11.0,8.5846769015,17.0,9.89818088214,9.0,7.22484004498,7.0,6.64248851935,2.0,5.35792156061,7.0,4.00822047393,130.0,88.8075968424,33.0,54.63052845,70.0,58.1446196238,10.0,8.67746130625,76.0,97.4220746358,7.0,17.6857990225,104.0,65.4661013285
2016-05-01 09:00:00,23.0,52.553284963,83.0,128.107262929,64.0,66.3947747548,27.0,54.0463193258,112.0,154.176115672,129.0,151.707695007,162.0,152.412289937,233.0,226.989356995,191.0,174.884529114,56.0,81.566116333,22.0,26.0990076065,12.0,6.42543466886,32.0,19.0516843796,24.0,23.7885351181,10.0,9.51908191045,21.0,19.343053182,115.0,115.355659485,203.0,186.335365295,260.0,326.015111287,325.0,358.724802653,513.0,511.823903402,386.0,362.597773234,165.0,110.525947571,23.0,21.9738022486,3.0,5.70746533076,5.0,9.96779179573,15.0,17.2024884224,36.0,23.3549334208,6.0,5.26906188329,107.0,98.5448328654,263.0,215.330619812,411.0,323.394577026,494.0,414.606114705,340.0,415.619211833,413.0,557.842041016,456.0,398.87302653,413.0,337.094060262,217.0,147.262802124,7.0,8.91814009349,10.0,10.297205925,10.0,6.51491451263,30.0,20.5422757467,53.0,32.3749065399,159.0,186.537981669,494.0,428.951660156,585.0,441.196055094,99.0,154.819112142,84.0,76.5024592082,305.0,245.005902608,298.0,236.507336934,120.0,82.0895474752,14.0,16.3031169573,12.0,16.5300677617,59.0,39.4142538706,288.0,301.746276855,505.0,391.840087891,340.0,338.985326131,89.0,83.0188484192,89.0,71.2379595439,131.0,83.2655684153,69.0,32.7219381332,14.0,9.63986388842,6.0,10.1752882004,5.0,9.0797936519,7.0,7.8078002135,5.0,6.9434773922,9.0,19.2410990397,285.0,252.363863627,531.0,477.363586426,283.0,238.720077515,62.0,45.1059188843,81.0,35.5377626419,48.0,23.2443523407,47.0,16.2290851275,28.0,17.84370327,2.0,7.77796705564,27.0,23.3425079981,14.0,9.98116143545,17.0,12.4274282455,52.0,37.6229918798,68.0,35.6148049037,19.0,12.1078975201,22.0,9.62548478444,10.0,6.4658665657,15.0,6.40779185295,14.0,16.3837265968,27.0,15.9051823616,25.0,14.469783624,25.0,18.9441429774,11.0,10.9849309921,25.0,13.1949664752,16.0,9.51298713684,11.0,8.08095502853,0.0,6.76278011004,5.0,5.80433718363,159.0,126.661321004,133.0,83.7526194255,61.0,66.2035649618,5.0,9.58140969276,82.0,65.1295502981,12.0,25.4674835205,70.0,73.970504125
